,,B-Baseline
793.23,795.273,-62.846278694547664
794.914,794.101,-64.01827869454769
796.595,797.212,-60.9072786945477
798.275,798.93,-59.18927869454774
799.956,796.141,-61.978278694547726
801.635,803.091,-55.02827869454768
803.315,800.728,-57.39127869454774
804.995,802.929,-55.190278694547715
806.674,805.879,-52.24027869454767
808.352,805.05,-53.069278694547734
810.029,809.778,-48.34127869454767
811.707,807.495,-50.624278694547684
813.385,807.131,-50.988278694547716
815.06,810.141,-47.978278694547726
816.735,816.95,-41.16927869454764
818.412,816.97,-41.14927869454766
820.087,817.98,-40.13927869454767
821.761,818.788,-39.33127869454768
823.435,818.828,-39.291278694547714
825.109,821.798,-36.321278694547686
826.782,824.626,-33.49327869454771
828.455,822.647,-35.47227869454764
830.128,823.576,-34.543278694547666
831.8,825.192,-32.92727869454768
833.472,828.364,-29.755278694547656
835.142,830.667,-27.45227869454766
836.814,829.475,-28.644278694547666
838.483,828.808,-29.311278694547696
840.154,829.333,-28.78627869454772
841.822,827.98,-30.13927869454767
843.491,828.0,-30.11927869454769
845.159,823.758,-34.36127869454765
846.826,829.313,-28.8062786945477
848.493,827.98,-30.13927869454767
850.16,825.273,-32.846278694547664
851.827,828.02,-30.099278694547706
853.494,828.263,-29.856278694547655
855.16,827.475,-30.644278694547666
856.823,828.343,-29.776278694547727
858.489,827.636,-30.48327869454772
860.154,833.717,-24.402278694547704
861.817,828.646,-29.47327869454773
863.48,833.151,-24.968278694547735
865.144,833.495,-24.624278694547684
866.806,838.04,-20.079278694547725
868.467,841.192,-16.92727869454768
870.129,838.202,-19.91727869454769
871.79,840.061,-18.058278694547653
873.451,851.111,-7.008278694547698
875.111,855.555,-2.5642786945477383
876.771,857.94,-0.17927869454763368
878.429,871.98,13.86072130545233
880.089,871.172,13.052721305452337
881.748,883.515,25.395721305452298
883.405,889.657,31.53772130545235
885.063,888.283,30.163721305452327
886.719,889.677,31.557721305452333
888.375,885.414,27.2947213054523
890.031,881.697,23.577721305452314
891.689,873.03,14.910721305452284
893.344,872.182,14.062721305452328
894.998,869.656,11.53672130545226
896.651,861.677,3.5577213054523327
898.305,860.101,1.9817213054523108
899.959,856.828,-1.2912786945477137
901.613,855.454,-2.6652786945477374
903.264,856.909,-1.2102786945476964
904.917,853.05,-5.069278694547734
906.568,854.303,-3.816278694547691
908.22,850.889,-7.230278694547678
909.87,852.545,-5.574278694547729
911.52,854.0,-4.119278694547688
913.169,850.727,-7.392278694547713
914.818,851.071,-7.048278694547662
916.467,854.949,-3.170278694547733
918.116,852.081,-6.038278694547671
919.764,854.141,-3.9782786945477255
921.412,851.859,-6.260278694547651
923.06,848.505,-9.614278694547693
924.705,852.404,-5.715278694547692
926.352,856.808,-1.3112786945476955
927.997,855.232,-2.8872786945477174
929.643,856.222,-1.8972786945477083
931.288,853.839,-4.280278694547633
932.931,852.444,-5.675278694547728
934.577,853.475,-4.6442786945476655
936.22,855.818,-2.3012786945477046
937.863,857.455,-0.6642786945476473
939.506,861.01,2.8907213054523027
941.148,856.243,-1.8762786945476364
942.788,857.556,-0.5632786945476482
944.43,859.96,1.8407213054523481
946.072,857.96,-0.15927869454765187
947.711,855.091,-3.02827869454768
949.352,858.868,0.7487213054523636
950.99,860.202,2.08272130545231
952.631,861.252,3.1327213054522645
954.269,861.657,3.537721305452351
955.906,857.232,-0.8872786945477174
957.544,859.798,1.6787213054523136
959.181,860.808,2.6887213054523045
960.818,864.646,6.52672130545227
962.454,867.353,9.233721305452264
964.09,862.606,4.486721305452306
965.726,863.01,4.890721305452303
967.36,867.192,9.072721305452319
968.995,865.051,6.931721305452356
970.628,867.636,9.516721305452279
972.263,868.687,10.567721305452324
973.896,867.313,9.1937213054523
975.528,872.182,14.062721305452328
977.162,870.101,11.98172130545231
978.793,873.131,15.011721305452284
980.424,871.596,13.476721305452315
982.055,869.717,11.597721305452296
983.686,874.546,16.42672130545236
985.316,872.263,14.143721305452345
986.945,873.919,15.799721305452294
988.574,871.172,13.052721305452337
990.204,870.646,12.52672130545227
991.831,872.485,14.365721305452325
993.46,870.647,12.52772130545236
995.087,870.748,12.628721305452359
996.713,872.081,13.961721305452329
998.339,874.384,16.264721305452326
999.965,877.92,19.80072130545227
1001.59,875.535,17.41572130545228
1003.22,876.02,17.900721305452294
1004.84,883.515,25.395721305452298
1006.47,886.727,28.607721305452287
1008.09,888.384,30.264721305452326
1009.71,889.192,31.07272130545232
1011.34,892.161,34.041721305452256
1012.96,894.99,36.87072130545232
1014.58,903.939,45.819721305452276
1016.2,906.909,48.789721305452304
1017.82,908.101,49.98172130545231
1019.44,912.768,54.64872130545234
1021.06,916.041,57.921721305452365
1022.68,916.141,58.021721305452274
1024.3,921.677,63.55772130545233
1025.92,921.596,63.476721305452315
1027.54,927.96,69.84072130545235
1029.16,927.899,69.77972130545231
1030.78,932.889,74.76972130545232
1032.39,942.384,84.26472130545233
1034.01,949.717,91.5977213054523
1035.63,953.333,95.21372130545228
1037.24,957.152,99.03272130545236
1038.86,968.323,110.20372130545229
1040.47,966.545,108.42572130545227
1042.08,968.162,110.04272130545235
1043.7,963.253,105.13372130545235
1045.31,970.748,112.62872130545236
1046.93,971.818,113.6987213054523
1048.54,978.465,120.34572130545234
1050.15,975.051,116.93172130545236
1051.76,981.535,123.41572130545228
1053.37,984.182,126.06272130545233
1054.98,979.515,121.3957213054523
1056.6,975.132,117.01272130545226
1058.21,975.071,116.95172130545234
1059.81,966.808,108.6887213054523
1061.42,966.505,108.38572130545231
1063.03,963.757,105.63772130545226
1064.64,959.232,101.11272130545228
1066.25,960.323,102.20372130545229
1067.86,958.808,100.6887213054523
1069.46,963.798,105.67872130545231
1071.07,971.879,113.75972130545233
1072.67,968.909,110.7897213054523
1074.28,967.475,109.35572130545233
1075.89,968.121,110.00172130545229
1077.49,967.919,109.7997213054523
1079.09,973.091,114.97172130545232
1080.7,977.172,119.05272130545234
1082.3,984.202,126.08272130545231
1083.9,989.111,130.9917213054523
1085.51,1000.59,142.47072130545234
1087.11,1009.52,151.4007213054523
1088.71,1016.16,158.04072130545228
1090.31,1023.19,165.07072130545237
1091.91,1024.91,166.7907213054524
1093.51,1025.64,167.5207213054524
1095.11,1020.75,162.6307213054523
1096.71,1013.35,155.23072130545233
1098.31,1008.38,150.2607213054523
1099.91,1012.24,154.12072130545232
1101.51,1014.97,156.85072130545234
1103.1,1023.47,165.35072130545234
1104.7,1025.94,167.82072130545237
1106.3,1044.2,186.08072130545236
1107.89,1047.41,189.2907213054524
1109.49,1060.73,202.61072130545233
1111.08,1068.06,209.94072130545226
1112.68,1075.03,216.91072130545228
1114.28,1076.93,218.81072130545238
1115.87,1074.75,216.6307213054523
1117.46,1067.13,209.01072130545242
1119.06,1054.83,196.71072130545224
1120.65,1038.42,180.30072130545238
1122.24,1029.17,171.05072130545238
1123.83,1016.22,158.10072130545234
1125.42,999.01,140.8907213054523
1127.02,991.232,133.11272130545228
1128.6,979.111,120.9917213054523
1130.19,971.656,113.53672130545226
1131.79,963.475,105.35572130545233
1133.37,961.373,103.25372130545236
1134.96,957.414,99.2947213054523
1136.55,955.96,97.84072130545235
1138.14,958.061,99.94172130545235
1139.73,953.636,95.51672130545228
1141.31,954.768,96.64872130545234
1142.9,949.475,91.35572130545233
1144.49,956.02,97.9007213054523
1146.07,950.363,92.24372130545237
1147.66,958.95,100.83072130545236
1149.24,956.162,98.04272130545235
1150.83,955.878,97.75872130545235
1152.41,959.636,101.51672130545228
1153.99,957.313,99.1937213054523
1155.58,959.172,101.05272130545234
1157.16,963.96,105.84072130545235
1158.74,957.253,99.13372130545235
1160.32,953.859,95.73972130545235
1161.9,953.778,95.65872130545233
1163.48,950.647,92.52772130545236
1165.07,944.586,86.46672130545232
1166.64,941.737,83.61772130545228
1168.22,937.96,79.84072130545235
1169.8,937.212,79.0927213054523
1171.38,936.647,78.52772130545236
1172.96,934.222,76.10272130545229
1174.54,937.253,79.13372130545235
1176.12,933.758,75.63872130545235
1177.69,942.101,83.98172130545231
1179.27,939.697,81.57772130545231
1180.84,944.525,86.40572130545229
1182.42,943.212,85.0927213054523
1183.99,947.091,88.97172130545232
1185.57,953.192,95.07272130545232
1187.14,953.333,95.21372130545228
1188.72,952.303,94.18372130545231
1190.29,953.838,95.71872130545228
1191.86,952.404,94.28472130545231
1193.43,951.535,93.41572130545228
1195.01,946.505,88.38572130545231
1196.58,952.869,94.74972130545234
1198.15,955.555,97.43572130545226
1199.72,954.747,96.62772130545227
1201.29,957.455,99.33572130545235
1202.86,960.747,102.62772130545227
1204.43,960.869,102.74972130545234
1206.0,966.222,108.10272130545229
1207.57,963.919,105.7997213054523
1209.14,968.909,110.7897213054523
1210.7,964.586,106.46672130545232
1212.27,971.394,113.27472130545232
1213.84,970.849,112.72972130545236
1215.4,972.0,113.88072130545231
1216.97,970.101,111.98172130545231
1218.53,973.253,115.13372130545235
1220.1,966.808,108.6887213054523
1221.66,971.333,113.21372130545228
1223.23,967.273,109.15372130545234
1224.79,972.707,114.5877213054523
1226.35,968.869,110.74972130545234
1227.92,963.131,105.01172130545228
1229.48,965.596,107.47672130545232
1231.04,964.303,106.18372130545231
1232.6,967.778,109.65872130545233
1234.16,970.222,112.10272130545229
1235.73,972.343,114.22372130545227
1237.29,968.384,110.26472130545233
1238.85,973.859,115.73972130545235
1240.4,979.232,121.11272130545228
1241.96,980.101,121.98172130545231
1243.52,989.131,131.01172130545228
1245.08,991.717,133.5977213054523
1246.64,993.454,135.33472130545226
1248.19,995.656,137.53672130545226
1249.75,1001.31,143.19072130545226
1251.31,997.152,139.03272130545236
1252.86,1004.28,146.16072130545228
1254.42,997.859,139.73972130545235
1255.97,995.152,137.03272130545236
1257.53,992.243,134.12372130545236
1259.08,988.101,129.9817213054523
1260.64,984.242,126.12272130545227
1262.19,981.212,123.0927213054523
1263.74,976.505,118.38572130545231
1265.29,981.03,122.91072130545228
1266.85,977.98,119.86072130545233
1268.4,974.303,116.18372130545231
1269.95,977.253,119.13372130545235
1271.5,977.293,119.17372130545232
1273.05,985.899,127.77972130545231
1274.6,985.132,127.01272130545226
1276.15,985.374,127.25472130545234
1277.7,989.697,131.57772130545231
1279.25,990.586,132.46672130545232
1280.79,996.808,138.6887213054523
1282.34,996.344,138.22472130545236
1283.89,995.01,136.8907213054523
1285.43,993.333,135.21372130545228
1286.98,999.475,141.35572130545233
1288.53,999.313,141.1937213054523
1290.07,991.172,133.05272130545234
1291.62,998.222,140.1027213054523
1293.16,1004.53,146.41072130545228
1294.71,1008.87,150.75072130545232
1296.25,1013.41,155.29072130545228
1297.79,1011.58,153.46072130545235
1299.34,1015.21,157.09072130545235
1300.88,1014.22,156.10072130545234
1302.42,1017.56,159.44072130545226
1303.96,1024.0,165.8807213054523
1305.5,1029.31,171.19072130545226
1307.04,1024.44,166.32072130545237
1308.58,1024.85,166.73072130545222
1310.12,1018.65,160.5307213054523
1311.66,1017.41,159.29072130545228
1313.2,1016.59,158.47072130545234
1314.74,1007.19,149.07072130545237
1316.28,1007.88,149.7607213054523
1317.81,1006.61,148.49072130545233
1319.35,1006.73,148.61072130545233
1320.89,1003.43,145.31072130545226
1322.42,1010.65,152.5307213054523
1323.96,1011.9,153.7807213054523
1325.5,1022.48,164.36072130545233
1327.03,1022.38,164.2607213054523
1328.56,1029.64,171.5207213054524
1330.1,1029.8,171.68072130545227
1331.63,1028.81,170.69072130545226
1333.17,1033.09,174.97072130545223
1334.7,1038.12,180.0007213054522
1336.23,1039.35,181.23072130545222
1337.76,1038.83,180.71072130545224
1339.3,1036.95,178.83072130545236
1340.83,1042.61,184.4907213054522
1342.36,1040.02,181.9007213054523
1343.89,1040.61,182.4907213054522
1345.42,1042.63,184.51072130545242
1346.95,1044.99,186.87072130545232
1348.48,1042.22,184.10072130545234
1350.0,1039.51,181.3907213054523
1351.53,1044.79,186.67072130545228
1353.06,1037.56,179.44072130545226
1354.59,1035.07,176.95072130545225
1356.11,1033.29,175.17072130545228
1357.64,1025.98,167.86072130545233
1359.17,1025.96,167.84072130545235
1360.69,1023.64,165.5207213054523
1362.22,1019.31,161.19072130545226
1363.74,1013.43,155.31072130545226
1365.26,1025.84,167.72072130545223
1366.79,1027.29,169.17072130545228
1368.31,1032.95,174.83072130545236
1369.83,1031.98,173.86072130545233
1371.36,1028.22,170.10072130545234
1372.88,1033.82,175.70072130545225
1374.4,1027.45,169.33072130545236
1375.92,1020.36,162.24072130545233
1377.44,1016.97,158.85072130545234
1378.96,1016.57,158.45072130545236
1380.48,1008.04,149.92072130545228
1382.0,1009.88,151.7607213054523
1383.52,1002.99,144.87072130545232
1385.04,1002.02,143.9007213054523
1386.56,1006.1,147.98072130545233
1388.07,999.616,141.4967213054523
1389.59,1001.09,142.97072130545234
1391.11,1003.68,145.56072130545226
1392.62,1006.81,148.69072130545226
1394.14,1011.94,153.82072130545237
1395.66,1011.88,153.7607213054523
1397.17,1014.53,156.41072130545228
1398.69,1015.68,157.56072130545226
1400.2,1013.47,155.35072130545234
1401.71,1021.41,163.29072130545228
