		B-Baseline
921.412	259.313	5.891697608915223
923.06	257.192	3.770697608915242
924.705	257.616	4.19469760891522
926.352	257.657	4.235697608915217
927.997	258.909	5.4876976089152265
929.643	257.939	4.517697608915256
931.288	258.606	5.184697608915229
932.931	256.081	2.659697608915252
934.577	257.252	3.8306976089152442
936.22	255.394	1.9726976089152402
937.863	257.03	3.6086976089152074
939.506	257.455	4.033697608915219
941.148	256.545	3.1236976089152506
942.788	257.172	3.75069760891526
944.43	258.0	4.578697608915235
946.072	258.222	4.800697608915215
947.711	259.919	6.497697608915217
949.352	259.616	6.19469760891522
950.99	257.192	3.770697608915242
952.631	257.212	3.790697608915224
954.269	255.515	2.093697608915221
955.906	258.081	4.659697608915252
957.544	257.596	4.174697608915238
959.181	260.424	7.002697608915213
960.818	262.04	8.618697608915255
962.454	263.798	10.376697608915237
964.09	264.283	10.86169760891525
965.726	264.424	11.002697608915213
967.36	266.263	12.841697608915212
968.995	267.616	14.19469760891522
970.628	268.747	15.325697608915249
972.263	265.818	12.396697608915218
973.896	268.404	14.982697608915231
975.528	269.475	16.053697608915257
977.162	270.505	17.08369760891523
978.793	269.737	16.315697608915258
980.424	271.192	17.770697608915242
982.055	274.444	21.02269760891525
983.686	273.879	20.457697608915254
985.316	270.606	17.18469760891523
986.945	274.242	20.820697608915253
988.574	271.96	18.538697608915214
990.204	268.424	15.002697608915213
991.831	270.04	16.618697608915255
993.46	271.596	18.17469760891524
995.087	266.586	13.164697608915247
996.713	268.485	15.063697608915248
998.339	268.0	14.578697608915235
999.965	270.182	16.76069760891525
1001.59	270.828	17.40669760891521
1003.22	273.131	19.709697608915207
1004.84	274.364	20.94269760891521
1006.47	276.747	23.32569760891525
1008.09	283.677	30.255697608915256
1009.71	282.0	28.578697608915235
1011.34	283.434	30.01269760891526
1012.96	288.182	34.76069760891525
1014.58	289.596	36.17469760891524
1016.2	291.818	38.39669760891522
1017.82	295.051	41.62969760891522
1019.44	299.939	46.517697608915256
1021.06	301.98	48.55869760891525
1022.68	305.899	52.477697608915236
1024.3	306.343	52.92169760891525
1025.92	312.606	59.18469760891523
1027.54	313.657	60.23569760891522
1029.16	319.717	66.29569760891522
1030.78	326.525	73.10369760891521
1032.39	330.101	76.67969760891523
1034.01	336.606	83.18469760891523
1035.63	342.222	88.80069760891521
1037.24	348.02	94.59869760891522
1038.86	352.869	99.44769760891526
1040.47	357.515	104.09369760891522
1042.08	359.677	106.25569760891526
1043.7	359.172	105.75069760891526
1045.31	358.869	105.44769760891526
1046.93	357.414	103.99269760891522
1048.54	358.465	105.04369760891521
1050.15	360.283	106.86169760891525
